gen_data/time,gen_data/delta_f_rad,gen_data/omega_wheel_fl_radps,gen_data/omega_wheel_fr_radps,gen_data/omega_wheel_rl_radps,gen_data/omega_wheel_rr_radps,gen_data/gear,cor_data/time,cor_data/vel_cog_x_mps,cor_data/vel_cog_y_mps,imu_data/time,imu_data/acc_cog_x_mps2,imu_data/acc_cog_y_mps2,imu_data/acc_cog_z_mps2,imu_data/yaw_rate_radps
0.45000568,-0.00048154092,63.445,63.4225,63.6,63.7175,1.0,1714059900.0,19.488455,-0.09794915,1714058000.0,-0.14644764,-0.91890836,9.81,-0.009146033
0.46000582,-0.00048154092,63.45,63.415,63.5775,63.7125,1.0,1714059900.0,19.571314,-0.115109704,1714058100.0,-0.16883412,-0.97337407,9.81,-0.010971078
0.47000593,-0.0003210273,63.4675,63.41,63.585,63.7,1.0,1714059800.0,19.546621,-0.14850181,1714057600.0,-0.31192595,-1.102336,9.81,-0.01310985
0.48000607,5.820766e-12,63.4525,63.42,63.615,63.74,1.0,1714060400.0,19.573364,-0.14102235,1714058400.0,-0.52168655,-1.4373533,9.81,-0.0143529065
0.4900062,0.00024077047,63.4575,63.44,63.625,63.73,1.0,1714059900.0,19.587053,-0.14473356,1714058200.0,-0.715174,-1.5127333,9.81,-0.013010328
0.5000063,0.0004012841,63.495,63.4475,63.6625,63.737503,1.0,1714059800.0,19.627903,-0.147133,1714057900.0,-0.7491553,-1.1956232,9.81,-0.0094653545
0.5100064,0.00072231144,63.51,63.4575,63.7325,63.752502,1.0,1714060300.0,19.578905,-0.12198297,1714058200.0,-0.66226804,-0.96481186,9.81,-0.0035344642
0.5200066,0.0012038524,63.52,63.462498,63.7225,63.77,1.0,1714060400.0,19.572474,-0.08903082,1714058200.0,-0.57347846,-1.0811205,9.81,-7.990459e-05
0.5300067,0.0016853933,63.5025,63.465,63.7625,63.7425,1.0,1714059800.0,19.49746,-0.07354343,1714057600.0,-0.5097147,-1.1973914,9.81,0.00068001944
0.5400068,0.0020866774,63.515,63.475,63.75,63.7675,1.0,1714059900.0,19.485811,-0.036983952,1714057300.0,-0.3985476,-1.0224996,9.81,-0.0017027907
0.5500069,0.0025682184,63.55,63.4775,63.79,63.732502,1.0,1714059800.0,19.467422,-0.023063473,1714058000.0,-0.22904392,-0.88234603,9.81,-0.0019507128
0.5600071,0.0031300161,63.5475,63.4875,63.75,63.765,1.0,1714059900.0,19.490406,0.0021787516,1714057900.0,-0.15868849,-1.1069221,9.81,0.00064840564
0.5700072,0.003611557,63.5375,63.5,63.7875,63.77,1.0,1714059500.0,19.457645,0.057934772,1714057700.0,-0.19944693,-1.3378546,9.81,0.0003386861
0.5800073,0.0038523276,63.53,63.4975,63.79,63.805,1.0,1714060300.0,19.494284,0.11284564,1714057900.0,-0.29198247,-1.2661484,9.81,-0.0030801753
0.5900075,0.004093098,63.555,63.495,63.77,63.7575,1.0,1714059500.0,19.479477,0.13528022,1714057700.0,-0.38974425,-1.1045557,9.81,-0.004915402
0.6000076,0.0043338686,63.5225,63.497498,63.725,63.7525,1.0,1714060300.0,19.492367,0.14003709,1714058100.0,-0.4693776,-0.99374557,9.81,-0.00440954
0.6100077,0.0044141253,63.5,63.5025,63.76,63.7175,1.0,1714059400.0,19.465353,0.17712566,1714058100.0,-0.53815377,-0.84050196,9.81,0.0032011215
0.6200078,0.0041733547,63.497498,63.515,63.72,63.7075,1.0,1714059500.0,19.503578,0.19324763,1714057700.0,-0.58181685,-0.45431894,9.81,0.013393464
0.630008,0.0037720706,63.5025,63.51,63.6725,63.68,1.0,1714060000.0,19.473162,0.15423489,1714058200.0,-0.56153846,0.033647925,9.81,0.019051835
0.6400081,0.0033707866,63.5125,63.52,63.704998,63.6875,1.0,1714060300.0,19.507582,0.13000281,1714058200.0,-0.47800404,0.07413126,9.81,0.021285934
0.6500082,0.0029695025,63.5,63.52,63.7025,63.74,1.0,1714060300.0,19.509867,0.10621047,1714058100.0,-0.4140456,-0.35210994,9.81,0.021623502
0.6600084,0.0025682184,63.545,63.525,63.725,63.690002,1.0,1714059900.0,19.534538,0.07626876,1714058400.0,-0.38188818,-0.6316036,9.81,0.017866058
0.6700085,0.0021669343,63.552498,63.5225,63.7275,63.6475,1.0,1714059500.0,19.532959,0.040040106,1714057700.0,-0.39006054,-0.6895459,9.81,0.0125201745
